state,n,MASE_lagged_full,MASE_loss_only
OK,6,0.274,0.507
TN,6,0.513,0.546
FL,10,0.535,0.751
NC,10,0.538,0.825
ME,6,0.626,0.587
AR,6,0.661,0.675
NJ,6,0.734,0.877
OT,10,0.736,0.716
ND,9,0.773,0.985
NM,6,0.783,0.553
WI,10,0.788,0.666
ID,10,0.809,0.902
OR,10,0.817,0.771
WA,10,0.823,0.964
MI,10,0.854,0.957
TX,10,0.854,0.899
CA,10,0.861,0.995
MA,6,0.866,0.822
MN,10,0.868,1.149
NY,10,0.91,0.805
IA,10,0.931,0.967
KS,6,0.941,0.955
PA,10,0.945,0.985
SD,10,0.968,0.967
MS,10,0.971,0.768
CT,6,0.977,1.187
LA,10,1.004,0.951
MD,6,1.033,1.155
GA,10,1.052,0.892
IN,6,1.117,1.187
IL,6,1.124,1.265
OH,10,1.136,1.063
UT,6,1.149,0.798
MT,8,1.167,1.087
AL,6,1.202,1.258
MO,6,1.242,1.283
WY,4,1.259,3.22
SC,6,1.287,1.089
NE,6,1.393,1.455
WV,6,1.44,0.913
AZ,6,1.485,1.292
KY,6,1.738,1.017
CO,6,1.919,1.512
VA,6,2.013,1.337
VT,6,6.807,3.081
